Datum : 	05.12.2013
Durchmesser :	69,2
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg Sollwert	Ch 1 Weg	Ch 1 W2TK Mittel	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 MTS Aufnehmer Mittel	1944 A	1944 B	2157
d	s	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
41613	43,891602	-24,922558	-25,033474	0	-0,13147146	-0,085181594	-0,076097839	-0,0933128	-0,086134136	-0,035099477	-0,012224496	-0,021101627	-0,01840323
41613	43,991211	-25,111816	-25,163631	0	-0,1320865	-0,085551098	-0,076485686	-0,093692422	-0,086475194	-0,035201438	-0,012316234	-0,021253454	-0,018551376
41613	44,09082	-25,301073	-25,30253	0	-0,13250205	-0,085950769	-0,076866262	-0,09404701	-0,086939037	-0,035260834	-0,012409992	-0,021321189	-0,018658366
41613	44,19043	-25,490332	-25,421574	0	-0,13374928	-0,086404756	-0,077320628	-0,094496548	-0,087397099	-0,035352156	-0,012517581	-0,021357546	-0,018748749
41613	44,290039	-25,67959	-25,809593	0	-0,13490506	-0,087306798	-0,078176372	-0,095398188	-0,088345826	-0,03549299	-0,012717974	-0,021688456	-0,01905597
41613	44,389648	-25,868847	-25,921976	0	-0,13567768	-0,087932691	-0,078826196	-0,096030116	-0,088941753	-0,035548225	-0,01276245	-0,021833597	-0,019148316
41613	44,489258	-26,058105	-26,086287	0	-0,13607535	-0,088427328	-0,079361089	-0,096480012	-0,089440882	-0,035643902	-0,012926227	-0,021977546	-0,019337028
41613	44,588867	-26,247362	-26,238634	0	-0,13644677	-0,088883683	-0,079835847	-0,096936524	-0,089878678	-0,035710245	-0,013029971	-0,022055712	-0,019470759
41613	44,688477	-26,436621	-26,3535	0	-0,1372762	-0,089438476	-0,080408685	-0,097440243	-0,090466499	-0,035797872	-0,013104182	-0,022195747	-0,019574979
41613	44,788086	-26,625879	-26,641256	0	-0,13833436	-0,090157047	-0,081088223	-0,098187566	-0,091195345	-0,03583407	-0,013225352	-0,022333635	-0,019773837
41613	44,887695	-26,815136	-26,876781	0	-0,13984683	-0,090886235	-0,081846058	-0,098900378	-0,09191227	-0,035985872	-0,013428557	-0,022533663	-0,019999031
41613	44,987305	-27,004395	-27,048584	0	-0,14044327	-0,091466717	-0,0824503	-0,099441171	-0,092508674	-0,036056623	-0,013505115	-0,022693379	-0,02011537
